,Body type,Number of previous owners,Seats,city,kilometer driven,price,Car model,Year of car manufacture,Length,Fuel type,Width,Color,Brand Name,Insurance Validity_value,Transmission type,Engine Displacement_value(cc)
0,SUV,1,5.0,chennai,20000,1150000.0,Kia Sonet,2022,3995mm,Petrol,1790,Black,Kia,Third Party insurance,Automatic,998
1,Minivans,1,7.0,chennai,20687,415000.00000000006,Maruti Eeco,2015,3675mm,Petrol,1475mm,Grey,Maruti,Comprehensive,Manual,1196
2,SUV,1,5.0,chennai,30000,750000.0,Nissan Magnite,2021,3994mm,Petrol,1758,Others,Nissan,Third Party insurance,Manual,999
3,Hatchback,1,5.0,chennai,59247,398000.0,Hyundai i10,2015,3585mm,Petrol,1595mm,Silver,Hyundai,Comprehensive,Manual,1086
4,Hatchback,1,5.0,chennai,50000,550000.0,Honda Jazz,2015,3955mm,Petrol,1694mm,Others,Honda,Third Party insurance,Manual,1199
5,Sedan,1,5.0,chennai,20000,3300000.0,Mercedes-Benz E-Class,2016,4879mm,Diesel,2071mm,White,Mercedes-Benz,Comprehensive,Automatic,2143
6,Hatchback,1,5.0,chennai,29403,453000.0,Maruti Celerio,2016,3715mm,Petrol,1635mm,Blue,Maruti,Comprehensive,Automatic,998
7,Hatchback,1,5.0,chennai,42700,285000.0,Maruti A-Star,2010,3500mm,Petrol,1600mm,Grey,Maruti,Comprehensive,Manual,998
8,SUV,1,5.0,chennai,23001,5000000.0,BMW X3,2018,4708mm,Diesel,1891mm,Grey,BMW,Comprehensive,Automatic,1995
9,SUV,2,5.0,chennai,25925,821000.0000000001,Ford Ecosport,2018,3998mm,Petrol,1765mm,Black,Ford,Comprehensive,Automatic,1497
10,Hatchback,1,5.0,chennai,20000,865000.0,Hyundai i20,2021,3995mm,Petrol,1775mm,Blue,Hyundai,Third Party insurance,Manual,1197
11,Hatchback,1,5.0,chennai,17711,792000.0,Honda Jazz,2019,3955 mm,Petrol,1694 mm,Silver,Honda,Comprehensive,Automatic,1199
12,Sedan,1,5.0,chennai,50000,4050000.0,BMW 3 Series,2020,4709mm,Diesel,1827mm,White,BMW,Comprehensive,Automatic,1995
13,Hatchback,1,5.0,chennai,50000,610000.0,Maruti Swift,2018,3840mm,Petrol,1735mm,Others,Maruti,Third Party insurance,Manual,1197
14,Hatchback,2,5.0,chennai,51125,511000.00000000006,Hyundai Grand i10,2018,3765mm,Petrol,1660mm,White,Hyundai,Comprehensive,Manual,1197
15,SUV,1,5.0,chennai,69233,710000.0,Tata Nexon,2019,3994mm,Diesel,1811mm,Orange,Tata,Comprehensive,Manual,1497
16,SUV,1,5.0,chennai,65000,1225000.0,Jeep Compass,2017,4405mm,Diesel,1818mm,White,Jeep,Comprehensive,Manual,1956
17,Sedan,1,5.0,chennai,93281,570000.0,Honda City,2014,4440mm,Petrol,1695mm,Brown,Honda,Comprehensive,Manual,1497
18,SUV,1,7.0,chennai,18000,3900000.0,Toyota Fortuner,2022,4795mm,Diesel,1855mm,White,Toyota,Comprehensive,Manual,2755
19,Sedan,2,5.0,chennai,99225,375000.0,Honda Amaze,2014,3990mm,Petrol,1680mm,White,Honda,Comprehensive,Manual,1198
20,Hatchback,1,5.0,chennai,30000,275000.0,Hyundai EON,2016,3515mm,Petrol,1550mm,Others,Hyundai,Third Party insurance,Manual,998
21,Sedan,1,5.0,chennai,30602,429000.0,Honda Amaze,2014,3990mm,Petrol,1680mm,Silver,Honda,Comprehensive,Manual,1198
22,Hatchback,1,5.0,chennai,64500,675000.0,Maruti Swift,2018,3840mm,Diesel,1735mm,Red,Maruti,Comprehensive,Manual,1248
23,Sedan,2,5.0,chennai,46809,793000.0,Honda City,2017,4440mm,Petrol,1695mm,White,Honda,Comprehensive,Manual,1497
25,SUV,1,5.0,chennai,20000,1425000.0,Hyundai Creta,2019,4270mm,Diesel,1780mm,White,Hyundai,Comprehensive,Automatic,1582
26,SUV,1,5.0,chennai,21725,1036000.0,Hyundai Venue,2020,3995 mm,Petrol,1770 mm,Red,Hyundai,Third Party,Automatic,998
27,Sedan,1,5.0,chennai,80000,800000.0,Honda City,2016,4440mm,Petrol,1695mm,Others,Honda,Third Party insurance,Manual,1497
28,Sedan,2,5.0,chennai,88000,1400000.0,Audi A6,2013,4915mm,Petrol,2086mm,Blue,Audi,Third Party insurance,Automatic,1984
29,Sedan,2,5.0,chennai,30360,1088000.0,Honda City,2019,4440mm,Petrol,1695mm,Black,Honda,Third Party,Automatic,1497
30,Hatchback,2,5.0,chennai,70000,590000.0,Maruti Baleno,2017,3995mm,Petrol,1745mm,Others,Maruti,Third Party insurance,Automatic,1197
31,Hatchback,1,5.0,chennai,16246,568000.0,Hyundai Grand i10,2016,3765mm,Petrol,1660mm,Red,Hyundai,Comprehensive,Manual,1197
32,Hatchback,2,5.0,chennai,55000,400000.0,Maruti Celerio,2017,3600mm,Petrol,1600mm,White,Maruti,Comprehensive,Automatic,998
33,MUV,1,7.0,chennai,13000,2790000.0,Toyota Innova Crysta,2022,4735mm,Petrol,1830mm,White,Toyota,Comprehensive,Automatic,2694
34,Hatchback,2,5.0,chennai,71638,422000.0,Maruti Celerio,2016,3715mm,Petrol,1635mm,Red,Maruti,Third Party,Automatic,998
35,Sedan,1,5.0,chennai,46105,450000.0,Honda Amaze,2015,3990mm,Petrol,1680mm,White,Honda,Comprehensive,Manual,1198
36,SUV,1,5.0,chennai,60000,650000.0,Honda WR-V,2017,3999mm,Petrol,1734mm,Others,Honda,Third Party insurance,Manual,1199
37,Hatchback,1,5.0,chennai,80000,575000.0,Honda Jazz,2017,3955mm,Diesel,1694mm,Others,Honda,Third Party insurance,Manual,1498
38,Hatchback,1,5.0,chennai,58000,1950000.0,Mercedes-Benz B Class,2015,4359mm,Diesel,2010mm,Grey,Mercedes-Benz,Comprehensive,Automatic,2143
