,Body type,Number of previous owners,Seats,city,kilometer driven,price,Car model,Year of car manufacture,Length,Fuel type,Width,Color,Brand Name,Insurance Validity_value,Transmission type,Engine Displacement_value(cc)
0,7,1,5.0,5,20000,1150000.0,100,2022,101,4,139,8,13,5,0,998
1,5,1,7.0,5,20687,415000.00000000006,145,2015,39,4,22,57,20,2,1,1196
2,7,1,5.0,5,30000,750000.0,197,2021,98,4,118,86,24,5,1,999
3,2,1,5.0,5,59247,398000.0,82,2015,26,4,38,116,9,2,1,1086
4,2,1,5.0,5,50000,550000.0,61,2015,82,4,70,86,8,5,1,1199
5,8,1,5.0,5,20000,3300000.0,174,2016,345,1,267,138,21,2,0,2143
6,2,1,5.0,5,29403,453000.0,142,2016,45,4,44,9,20,2,0,998
7,2,1,5.0,5,42700,285000.0,135,2010,16,4,39,57,20,2,1,998
8,7,1,5.0,5,23001,5000000.0,18,2018,300,1,216,57,1,2,0,1995
9,7,2,5.0,5,25925,821000.0000000001,47,2018,102,4,123,8,6,2,0,1497
10,2,1,5.0,5,20000,865000.0,83,2021,101,4,130,9,9,5,1,1197
11,2,1,5.0,5,17711,792000.0,61,2019,81,4,69,116,8,2,0,1199
12,8,1,5.0,5,50000,4050000.0,11,2020,301,1,177,138,1,2,0,1995
13,2,1,5.0,5,50000,610000.0,158,2018,68,4,103,86,20,5,1,1197
14,2,2,5.0,5,51125,511000.00000000006,72,2018,51,4,52,138,9,2,1,1197
15,7,1,5.0,5,69233,710000.0,237,2019,98,1,156,84,29,2,1,1497
16,7,1,5.0,5,65000,1225000.0,94,2017,186,1,165,138,12,2,1,1956
17,8,1,5.0,5,93281,570000.0,58,2014,203,4,73,14,8,2,1,1497
18,7,1,7.0,5,18000,3900000.0,252,2022,317,1,197,138,30,2,1,2755
19,8,2,5.0,5,99225,375000.0,54,2014,93,4,60,138,8,2,1,1198
20,2,1,5.0,5,30000,275000.0,69,2016,17,4,32,86,9,5,1,998
21,8,1,5.0,5,30602,429000.0,54,2014,93,4,60,116,8,2,1,1198
22,2,1,5.0,5,64500,675000.0,158,2018,68,1,103,110,20,2,1,1248
23,8,2,5.0,5,46809,793000.0,58,2017,203,4,73,138,8,2,1,1497
24,7,1,5.0,5,20000,1425000.0,68,2019,142,1,134,138,9,2,0,1582
25,7,1,5.0,5,21725,1036000.0,79,2020,100,4,126,110,9,4,0,998
